Provincia;Campo;Regione;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
BL;di cui Smaltitore;Veneto;28;28;28
BL;di cui Trasportatore;Veneto;104;105;105
BN;Numero operatori iscritti;Campania;1870;1881;1887
BN;Numero unita locali iscritte;Campania;2250;2263;2269
BN;di cui Centro di raccolta;Campania;25;26;26
BN;di cui Intermediario senza detenzione;Campania;49;49;49
BN;di cui Produttore;Campania;2096;2108;2114
BN;di cui Recuperatore;Campania;84;84;84
BN;di cui Smaltitore;Campania;6;6;6
BN;di cui Trasportatore;Campania;291;292;290
BO;Numero operatori iscritti;Emilia Romagna;6183;6213;6235
BO;Numero unita locali iscritte;Emilia Romagna;8128;8179;8211
BO;di cui Centro di raccolta;Emilia Romagna;62;62;63
BO;di cui Intermediario senza detenzione;Emilia Romagna;127;129;129
BO;di cui Produttore;Emilia Romagna;7833;7883;7914
BO;di cui Recuperatore;Emilia Romagna;186;186;186
BO;di cui Smaltitore;Emilia Romagna;44;44;44
BO;di cui Trasportatore;Emilia Romagna;747;758;760
BR;Numero operatori iscritti;Puglia;1946;1956;1979
BR;Numero unita locali iscritte;Puglia;2345;2359;2384
BR;di cui Centro di raccolta;Puglia;22;22;22
BR;di cui Intermediario senza detenzione;Puglia;35;35;35
BR;di cui Produttore;Puglia;2206;2220;2244
BR;di cui Recuperatore;Puglia;86;86;87
BR;di cui Smaltitore;Puglia;29;29;29
BR;di cui Trasportatore;Puglia;391;392;392
BS;Numero operatori iscritti;Lombardia;9948;10009;10048
BS;Numero unita locali iscritte;Lombardia;12453;12541;12592
BS;di cui Centro di raccolta;Lombardia;194;194;194
BS;di cui Intermediario senza detenzione;Lombardia;332;335;336
BS;di cui Produttore;Lombardia;11639;11723;11769
BS;di cui Recuperatore;Lombardia;517;521;524
BS;di cui Smaltitore;Lombardia;149;150;151
BS;di cui Trasportatore;Lombardia;1404;1414;1419
BT;Numero operatori iscritti;Puglia;1923;1945;1958
BT;Numero unita locali iscritte;Puglia;2162;2187;2203
BT;di cui Centro di raccolta;Puglia;16;16;16
BT;di cui Intermediario senza detenzione;Puglia;30;31;31
BT;di cui Produttore;Puglia;2054;2078;2093
BT;di cui Recuperatore;Puglia;77;77;77
BT;di cui Smaltitore;Puglia;12;12;12
BT;di cui Trasportatore;Puglia;245;246;247
BZ;Numero operatori iscritti;Trentino Alto Adige;2802;2835;2853
BZ;Numero unita locali iscritte;Trentino Alto Adige;3849;3889;3910
BZ;di cui Centro di raccolta;Trentino Alto Adige;0;0;0
BZ;di cui Intermediario senza detenzione;Trentino Alto Adige;47;47;48
BZ;di cui Produttore;Trentino Alto Adige;3484;3518;3537
BZ;di cui Recuperatore;Trentino Alto Adige;337;341;342
BZ;di cui Smaltitore;Trentino Alto Adige;173;173;173
BZ;di cui Trasportatore;Trentino Alto Adige;438;444;445
CA;Numero operatori iscritti;Sardegna;2378;2410;2435
CA;Numero unita locali iscritte;Sardegna;2909;2952;2980
CA;di cui Centro di raccolta;Sardegna;35;35;35
CA;di cui Intermediario senza detenzione;Sardegna;84;84;86
CA;di cui Produttore;Sardegna;2627;2661;2687
CA;di cui Recuperatore;Sardegna;69;70;72
CA;di cui Smaltitore;Sardegna;31;31;31
CA;di cui Trasportatore;Sardegna;590;599;602
CB;Numero operatori iscritti;Molise;1214;1222;1232
CB;Numero unita locali iscritte;Molise;1635;1645;1657
CB;di cui Centro di raccolta;Molise;44;44;44
CB;di cui Intermediario senza detenzione;Molise;22;22;22
CB;di cui Produttore;Molise;1509;1517;1529
CB;di cui Recuperatore;Molise;54;54;54
CB;di cui Smaltitore;Molise;19;19;19
CB;di cui Trasportatore;Molise;198;200;200
CE;Numero operatori iscritti;Campania;5269;5310;5362
CE;Numero unita locali iscritte;Campania;6044;6094;6170
CE;di cui Centro di raccolta;Campania;43;44;44
CE;di cui Intermediario senza detenzione;Campania;146;148;148
CE;di cui Produttore;Campania;5497;5542;5616
CE;di cui Recuperatore;Campania;268;268;269
CE;di cui Smaltitore;Campania;42;42;42
CE;di cui Trasportatore;Campania;982;994;997
CH;Numero operatori iscritti;Abruzzo;2401;2424;2435
CH;Numero unita locali iscritte;Abruzzo;3053;3080;3091
CH;di cui Centro di raccolta;Abruzzo;31;31;31
CH;di cui Intermediario senza detenzione;Abruzzo;62;62;62
CH;di cui Produttore;Abruzzo;2891;2915;2925
CH;di cui Recuperatore;Abruzzo;99;100;100
CH;di cui Smaltitore;Abruzzo;40;40;40
CH;di cui Trasportatore;Abruzzo;317;320;323
CI;Numero operatori iscritti;Sardegna;61;71;71
CI;Numero unita locali iscritte;Sardegna;72;85;85
CI;di cui Centro di raccolta;Sardegna;10;10;10
CI;di cui Intermediario senza detenzione;Sardegna;2;2;2
CI;di cui Produttore;Sardegna;52;64;64
CI;di cui Recuperatore;Sardegna;6;7;7
CI;di cui Smaltitore;Sardegna;3;3;3
CI;di cui Trasportatore;Sardegna;17;18;18
CL;Numero operatori iscritti;Sicilia;1158;1165;1174
CL;Numero unita locali iscritte;Sicilia;1404;1426;1438
CL;di cui Centro di raccolta;Sicilia;13;13;13
CL;di cui Intermediario senza detenzione;Sicilia;44;44;44
CL;di cui Produttore;Sicilia;1282;1303;1314
CL;di cui Recuperatore;Sicilia;36;36;36
CL;di cui Smaltitore;Sicilia;22;22;22
CL;di cui Trasportatore;Sicilia;217;218;219
CN;Numero operatori iscritti;Piemonte;4129;4148;4163
CN;Numero unita locali iscritte;Piemonte;5464;5488;5509
CN;di cui Centro di raccolta;Piemonte;88;88;88
CN;di cui Intermediario senza detenzione;Piemonte;62;63;64
CN;di cui Produttore;Piemonte;5205;5231;5251
CN;di cui Recuperatore;Piemonte;256;255;256
CN;di cui Smaltitore;Piemonte;41;41;41
CN;di cui Trasportatore;Piemonte;510;509;511
CO;Numero operatori iscritti;Lombardia;3615;3636;3647
CO;Numero unita locali iscritte;Lombardia;4419;4447;4464
CO;di cui Centro di raccolta;Lombardia;69;69;69
CO;di cui Intermediario senza detenzione;Lombardia;55;55;55
CO;di cui Produttore;Lombardia;4180;4205;4221
CO;di cui Recuperatore;Lombardia;158;160;161
CO;di cui Smaltitore;Lombardia;36;37;37
CO;di cui Trasportatore;Lombardia;517;521;521
CR;Numero operatori iscritti;Lombardia;2271;2279;2292
CR;Numero unita locali iscritte;Lombardia;2916;2922;2936
CR;di cui Centro di raccolta;Lombardia;85;87;92
CR;di cui Intermediario senza detenzione;Lombardia;40;40;40
CR;di cui Produttore;Lombardia;2735;2740;2750
CR;di cui Recuperatore;Lombardia;100;100;101
CR;di cui Smaltitore;Lombardia;32;32;32
CR;di cui Trasportatore;Lombardia;270;269;270
CS;Numero operatori iscritti;Calabria;2728;2762;2796
CS;Numero unita locali iscritte;Calabria;3759;3803;3859
CS;di cui Centro di raccolta;Calabria;31;32;34
CS;di cui Intermediario senza detenzione;Calabria;31;31;31
CS;di cui Produttore;Calabria;3583;3627;3683
CS;di cui Recuperatore;Calabria;95;95;95
CS;di cui Smaltitore;Calabria;18;18;18
CS;di cui Trasportatore;Calabria;481;483;483
CT;Numero operatori iscritti;Sicilia;4154;4182;4202
CT;Numero unita locali iscritte;Sicilia;4854;4887;4910
CT;di cui Centro di raccolta;Sicilia;47;47;47
CT;di cui Intermediario senza detenzione;Sicilia;108;109;109
CT;di cui Produttore;Sicilia;4464;4490;4513
CT;di cui Recuperatore;Sicilia;154;156;156
CT;di cui Smaltitore;Sicilia;43;43;43
CT;di cui Trasportatore;Sicilia;681;688;689
CZ;Numero operatori iscritti;Calabria;1830;1843;1856
CZ;Numero unita locali iscritte;Calabria;2308;2323;2336
CZ;di cui Centro di raccolta;Calabria;24;24;28
CZ;di cui Intermediario senza detenzione;Calabria;35;35;35
CZ;di cui Produttore;Calabria;2138;2153;2163
CZ;di cui Recuperatore;Calabria;67;69;69
CZ;di cui Smaltitore;Calabria;18;18;18
CZ;di cui Trasportatore;Calabria;416;416;416
EN;Numero operatori iscritti;Sicilia;681;689;695
EN;Numero unita locali iscritte;Sicilia;797;806;812
EN;di cui Centro di raccolta;Sicilia;18;18;18
EN;di cui Intermediario senza detenzione;Sicilia;6;7;7
EN;di cui Produttore;Sicilia;714;722;728
EN;di cui Recuperatore;Sicilia;27;27;27
EN;di cui Smaltitore;Sicilia;9;9;9
EN;di cui Trasportatore;Sicilia;101;101;102
FC;Numero operatori iscritti;Emilia Romagna;2734;2752;2763
FC;Numero unita locali iscritte;Emilia Romagna;3474;3496;3509
FC;di cui Centro di raccolta;Emilia Romagna;23;23;23
FC;di cui Intermediario senza detenzione;Emilia Romagna;54;54;54
FC;di cui Produttore;Emilia Romagna;3329;3350;3363
FC;di cui Recuperatore;Emilia Romagna;158;158;158
FC;di cui Smaltitore;Emilia Romagna;17;17;17
FC;di cui Trasportatore;Emilia Romagna;326;328;329
FE;Numero operatori iscritti;Emilia Romagna;1903;1917;1925
FE;Numero unita locali iscritte;Emilia Romagna;2433;2462;2471
FE;di cui Centro di raccolta;Emilia Romagna;27;27;27
FE;di cui Intermediario senza detenzione;Emilia Romagna;39;39;39
FE;di cui Produttore;Emilia Romagna;2338;2367;2376
FE;di cui Recuperatore;Emilia Romagna;99;99;99
FE;di cui Smaltitore;Emilia Romagna;26;26;26
FE;di cui Trasportatore;Emilia Romagna;238;253;253
FG;Numero operatori iscritti;Puglia;2690;2746;2774
FG;Numero unita locali iscritte;Puglia;3450;3513;3541
FG;di cui Centro di raccolta;Puglia;42;44;44
FG;di cui Intermediario senza detenzione;Puglia;49;49;49
FG;di cui Produttore;Puglia;3131;3188;3216
FG;di cui Recuperatore;Puglia;174;175;175
FG;di cui Smaltitore;Puglia;22;22;22
FG;di cui Trasportatore;Puglia;602;607;607
FI;Numero operatori iscritti;Toscana;7578;7640;7671
FI;Numero unita locali iscritte;Toscana;9835;9916;9955
FI;di cui Centro di raccolta;Toscana;22;22;22
FI;di cui Intermediario senza detenzione;Toscana;112;112;112
FI;di cui Produttore;Toscana;9333;9410;9447
FI;di cui Recuperatore;Toscana;177;176;176
FI;di cui Smaltitore;Toscana;45;45;45
FI;di cui Trasportatore;Toscana;1122;1138;1144
FM;Numero operatori iscritti;Marche;1418;1424;1430
FM;Numero unita locali iscritte;Marche;1624;1630;1636
FM;di cui Centro di raccolta;Marche;18;18;18
FM;di cui Intermediario senza detenzione;Marche;18;18;18
FM;di cui Produttore;Marche;1537;1543;1547
FM;di cui Recuperatore;Marche;38;38;39
FM;di cui Smaltitore;Marche;14;14;14
FM;di cui Trasportatore;Marche;134;134;134
FR;Numero operatori iscritti;Lazio;2780;2803;2820
FR;Numero unita locali iscritte;Lazio;3303;3326;3344
FR;di cui Centro di raccolta;Lazio;27;27;27
FR;di cui Intermediario senza detenzione;Lazio;111;112;112
FR;di cui Produttore;Lazio;3052;3074;3092
FR;di cui Recuperatore;Lazio;112;112;112
FR;di cui Smaltitore;Lazio;23;23;23
FR;di cui Trasportatore;Lazio;467;470;470
GE;Numero operatori iscritti;Liguria;3990;4020;4039
GE;Numero unita locali iscritte;Liguria;5274;5315;5348
GE;di cui Centro di raccolta;Liguria;31;31;31
GE;di cui Intermediario senza detenzione;Liguria;83;83;83
GE;di cui Produttore;Liguria;4891;4929;4962
GE;di cui Recuperatore;Liguria;166;166;166
GE;di cui Smaltitore;Liguria;55;55;55
GE;di cui Trasportatore;Liguria;770;774;775
GO;Numero operatori iscritti;Friuli Venezia Giulia;845;851;851
GO;Numero unita locali iscritte;Friuli Venezia Giulia;1045;1052;1053
GO;di cui Centro di raccolta;Friuli Venezia Giulia;11;11;11
GO;di cui Intermediario senza detenzione;Friuli Venezia Giulia;21;21;21
GO;di cui Produttore;Friuli Venezia Giulia;1010;1017;1017
GO;di cui Recuperatore;Friuli Venezia Giulia;37;37;37
GO;di cui Smaltitore;Friuli Venezia Giulia;14;14;14
GO;di cui Trasportatore;Friuli Venezia Giulia;87;86;87
GR;Numero operatori iscritti;Toscana;1517;1533;1539
GR;Numero unita locali iscritte;Toscana;1928;1946;1955
GR;di cui Centro di raccolta;Toscana;25;25;25
GR;di cui Intermediario senza detenzione;Toscana;24;25;25
GR;di cui Produttore;Toscana;1832;1848;1856
GR;di cui Recuperatore;Toscana;40;41;41
GR;di cui Smaltitore;Toscana;28;29;29
GR;di cui Trasportatore;Toscana;208;211;214
IM;Numero operatori iscritti;Liguria;1052;1059;1064
IM;Numero unita locali iscritte;Liguria;1256;1263;1269
IM;di cui Centro di raccolta;Liguria;16;16;16
IM;di cui Intermediario senza detenzione;Liguria;17;17;17
IM;di cui Produttore;Liguria;1172;1178;1183
IM;di cui Recuperatore;Liguria;37;37;37
IM;di cui Smaltitore;Liguria;13;13;13
IM;di cui Trasportatore;Liguria;180;182;183
IS;Numero operatori iscritti;Molise;602;613;617
IS;Numero unita locali iscritte;Molise;737;749;753
IS;di cui Centro di raccolta;Molise;10;10;10
IS;di cui Intermediario senza detenzione;Molise;16;16;15
IS;di cui Produttore;Molise;672;684;688
IS;di cui Recuperatore;Molise;30;30;30
IS;di cui Smaltitore;Molise;4;4;4
IS;di cui Trasportatore;Molise;116;116;117
KR;Numero operatori iscritti;Calabria;733;739;746
KR;Numero unita locali iscritte;Calabria;936;942;950
KR;di cui Centro di raccolta;Calabria;6;6;6
KR;di cui Intermediario senza detenzione;Calabria;15;15;15
KR;di cui Produttore;Calabria;841;847;854
KR;di cui Recuperatore;Calabria;47;47;47
KR;di cui Smaltitore;Calabria;20;20;20
KR;di cui Trasportatore;Calabria;165;166;167
LC;Numero operatori iscritti;Lombardia;2545;2562;2571
LC;Numero unita locali iscritte;Lombardia;3130;3150;3161
LC;di cui Centro di raccolta;Lombardia;58;58;58
LC;di cui Intermediario senza detenzione;Lombardia;45;46;46
LC;di cui Produttore;Lombardia;2984;3003;3014
LC;di cui Recuperatore;Lombardia;87;87;87
LC;di cui Smaltitore;Lombardia;21;21;21
LC;di cui Trasportatore;Lombardia;347;348;348
LE;Numero operatori iscritti;Puglia;4039;4060;4076
LE;Numero unita locali iscritte;Puglia;4854;4887;4905
LE;di cui Centro di raccolta;Puglia;105;105;105
LE;di cui Intermediario senza detenzione;Puglia;87;87;87
LE;di cui Produttore;Puglia;4608;4639;4657
LE;di cui Recuperatore;Puglia;137;139;139
LE;di cui Smaltitore;Puglia;66;66;66
LE;di cui Trasportatore;Puglia;568;571;573
LI;Numero operatori iscritti;Toscana;1816;1822;1830
LI;Numero unita locali iscritte;Toscana;2316;2325;2335
LI;di cui Centro di raccolta;Toscana;23;23;23
LI;di cui Intermediario senza detenzione;Toscana;46;46;46
LI;di cui Produttore;Toscana;2211;2220;2229
LI;di cui Recuperatore;Toscana;67;67;67
LI;di cui Smaltitore;Toscana;31;31;31
LI;di cui Trasportatore;Toscana;265;267;268
LO;Numero operatori iscritti;Lombardia;1362;1370;1377
LO;Numero unita locali iscritte;Lombardia;1740;1748;1755
LO;di cui Centro di raccolta;Lombardia;58;58;59
LO;di cui Intermediario senza detenzione;Lombardia;24;24;23
LO;di cui Produttore;Lombardia;1617;1625;1632
LO;di cui Recuperatore;Lombardia;60;60;60
LO;di cui Smaltitore;Lombardia;20;20;20
LO;di cui Trasportatore;Lombardia;151;151;151
LT;Numero operatori iscritti;Lazio;3349;3375;3390
LT;Numero unita locali iscritte;Lazio;3973;4005;4022
LT;di cui Centro di raccolta;Lazio;28;28;28
LT;di cui Intermediario senza detenzione;Lazio;77;76;76
LT;di cui Produttore;Lazio;3714;3746;3763
LT;di cui Recuperatore;Lazio;105;107;107
LT;di cui Smaltitore;Lazio;38;39;39
LT;di cui Trasportatore;Lazio;556;560;561
LU;Numero operatori iscritti;Toscana;2484;2494;2504
LU;Numero unita locali iscritte;Toscana;3267;3282;3292
LU;di cui Centro di raccolta;Toscana;27;27;27
LU;di cui Intermediario senza detenzione;Toscana;64;64;64
LU;di cui Produttore;Toscana;3105;3120;3130
LU;di cui Recuperatore;Toscana;82;82;82
LU;di cui Smaltitore;Toscana;20;20;20
LU;di cui Trasportatore;Toscana;374;377;379
MB;Numero operatori iscritti;Lombardia;5632;5666;5694
MB;Numero unita locali iscritte;Lombardia;6662;6706;6739
MB;di cui Centro di raccolta;Lombardia;10;10;10
MB;di cui Intermediario senza detenzione;Lombardia;131;132;132
MB;di cui Produttore;Lombardia;6216;6260;6291
MB;di cui Recuperatore;Lombardia;241;241;240
MB;di cui Smaltitore;Lombardia;91;91;91
MB;di cui Trasportatore;Lombardia;966;969;974
MC;Numero operatori iscritti;Marche;2514;2521;2527
MC;Numero unita locali iscritte;Marche;3057;3068;3074
MC;di cui Centro di raccolta;Marche;34;34;34
MC;di cui Intermediario senza detenzione;Marche;40;40;40
MC;di cui Produttore;Marche;2890;2901;2906
MC;di cui Recuperatore;Marche;156;158;159
MC;di cui Smaltitore;Marche;47;47;47
MC;di cui Trasportatore;Marche;304;305;306
ME;Numero operatori iscritti;Sicilia;2678;2693;2715
ME;Numero unita locali iscritte;Sicilia;3190;3213;3242
ME;di cui Centro di raccolta;Sicilia;38;38;39
ME;di cui Intermediario senza detenzione;Sicilia;41;41;42
ME;di cui Produttore;Sicilia;2918;2937;2965
ME;di cui Recuperatore;Sicilia;84;84;85
ME;di cui Smaltitore;Sicilia;12;12;12
ME;di cui Trasportatore;Sicilia;491;497;498
MI;Numero operatori iscritti;Lombardia;16625;16733;16802
MI;Numero unita locali iscritte;Lombardia;21836;21980;22086
MI;di cui Centro di raccolta;Lombardia;81;81;79
MI;di cui Intermediario senza detenzione;Lombardia;673;674;676
MI;di cui Produttore;Lombardia;20472;20613;20720
MI;di cui Recuperatore;Lombardia;649;650;652
MI;di cui Smaltitore;Lombardia;336;336;336
MI;di cui Trasportatore;Lombardia;2357;2368;2372
MN;Numero operatori iscritti;Lombardia;2778;2781;2794
MN;Numero unita locali iscritte;Lombardia;3518;3523;3541
MN;di cui Centro di raccolta;Lombardia;52;52;52
MN;di cui Intermediario senza detenzione;Lombardia;51;51;51
MN;di cui Produttore;Lombardia;3365;3370;3387
MN;di cui Recuperatore;Lombardia;131;131;131
MN;di cui Smaltitore;Lombardia;46;46;46
MN;di cui Trasportatore;Lombardia;343;343;344
MO;Numero operatori iscritti;Emilia Romagna;4609;4639;4657
MO;Numero unita locali iscritte;Emilia Romagna;5959;5998;6023
MO;di cui Centro di raccolta;Emilia Romagna;58;58;60
MO;di cui Intermediario senza detenzione;Emilia Romagna;70;70;71
MO;di cui Produttore;Emilia Romagna;5749;5787;5810
MO;di cui Recuperatore;Emilia Romagna;194;195;195
MO;di cui Smaltitore;Emilia Romagna;37;37;37
MO;di cui Trasportatore;Emilia Romagna;508;510;511
MS;Numero operatori iscritti;Toscana;1139;1146;1151
MS;Numero unita locali iscritte;Toscana;1443;1451;1456
MS;di cui Centro di raccolta;Toscana;5;5;5
MS;di cui Intermediario senza detenzione;Toscana;19;19;19
MS;di cui Produttore;Toscana;1372;1380;1385
MS;di cui Recuperatore;Toscana;24;24;24
MS;di cui Smaltitore;Toscana;10;10;10
MS;di cui Trasportatore;Toscana;156;157;158
MT;Numero operatori iscritti;Basilicata;1153;1163;1170
MT;Numero unita locali iscritte;Basilicata;1504;1518;1526
MT;di cui Centro di raccolta;Basilicata;23;23;23
MT;di cui Intermediario senza detenzione;Basilicata;31;31;31
MT;di cui Produttore;Basilicata;1420;1435;1443
MT;di cui Recuperatore;Basilicata;59;60;60
MT;di cui Smaltitore;Basilicata;11;11;11
MT;di cui Trasportatore;Basilicata;212;213;215
NA;Numero operatori iscritti;Campania;13301;13392;13506
NA;Numero unita locali iscritte;Campania;16060;16171;16307
NA;di cui Centro di raccolta;Campania;108;110;111
NA;di cui Intermediario senza detenzione;Campania;427;427;428
NA;di cui Produttore;Campania;15031;15143;15280
NA;di cui Recuperatore;Campania;364;366;367
NA;di cui Smaltitore;Campania;66;66;66
NA;di cui Trasportatore;Campania;2119;2132;2137
NO;Numero operatori iscritti;Piemonte;2308;2322;2332
NO;Numero unita locali iscritte;Piemonte;2883;2905;2917
NO;di cui Centro di raccolta;Piemonte;47;47;47
NO;di cui Intermediario senza detenzione;Piemonte;39;39;39
NO;di cui Produttore;Piemonte;2721;2743;2755
NO;di cui Recuperatore;Piemonte;99;101;101
NO;di cui Smaltitore;Piemonte;38;39;39
NO;di cui Trasportatore;Piemonte;269;271;271
NU;Numero operatori iscritti;Sardegna;948;955;957
NU;Numero unita locali iscritte;Sardegna;1289;1297;1299
NU;di cui Centro di raccolta;Sardegna;65;65;65
NU;di cui Intermediario senza detenzione;Sardegna;12;12;12
NU;di cui Produttore;Sardegna;1149;1157;1159
NU;di cui Recuperatore;Sardegna;34;33;33
NU;di cui Smaltitore;Sardegna;14;14;14
NU;di cui Trasportatore;Sardegna;229;227;227
OG;Numero operatori iscritti;Sardegna;35;38;42
OG;Numero unita locali iscritte;Sardegna;45;48;52
OG;di cui Centro di raccolta;Sardegna;3;3;3
OG;di cui Intermediario senza detenzione;Sardegna;2;2;2
OG;di cui Produttore;Sardegna;39;42;45
OG;di cui Recuperatore;Sardegna;2;3;3
OG;di cui Smaltitore;Sardegna;0;0;0
OG;di cui Trasportatore;Sardegna;2;4;6
OR;Numero operatori iscritti;Sardegna;847;852;854
OR;Numero unita locali iscritte;Sardegna;1205;1214;1221
OR;di cui Centro di raccolta;Sardegna;56;56;56
OR;di cui Intermediario senza detenzione;Sardegna;9;9;9
OR;di cui Produttore;Sardegna;1105;1114;1121
OR;di cui Recuperatore;Sardegna;34;35;35
OR;di cui Smaltitore;Sardegna;13;13;13
OR;di cui Trasportatore;Sardegna;178;178;179
OT;Numero operatori iscritti;Sardegna;106;116;128
OT;Numero unita locali iscritte;Sardegna;124;139;151
OT;di cui Centro di raccolta;Sardegna;5;5;5
OT;di cui Intermediario senza detenzione;Sardegna;2;2;2
OT;di cui Produttore;Sardegna;120;134;145
OT;di cui Recuperatore;Sardegna;2;2;2
OT;di cui Smaltitore;Sardegna;0;0;0
OT;di cui Trasportatore;Sardegna;8;9;11
PA;Numero operatori iscritti;Sicilia;4619;4670;4705
PA;Numero unita locali iscritte;Sicilia;5865;5936;5970
PA;di cui Centro di raccolta;Sicilia;39;40;40
PA;di cui Intermediario senza detenzione;Sicilia;55;55;55
